,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
28,Abdullah Mahmood (DEN),2019-2019,1,1,0,2,2,2.00,2,100.0,0,0,0,0,0,
29,AG Achar (SGP),2019-2019,3,2,2,2,2*,-,2,100.0,0,0,0,0,0,
30,N Advani (GIBR),2019-2019,1,1,0,2,2,2.00,4,50.0,0,0,0,0,0,
31,Aftab Alam (AFG),2012-2018,12,5,3,2,1*,1.00,9,22.22,0,0,1,0,0,
32,Areeb Quadir (Fin),2019-2019,2,1,0,2,2,2.00,12,16.66,0,0,0,0,0,
33,Arshad Hayat (CZK-R),2019-2019,6,2,0,2,2,1.00,7,28.57,0,0,1,0,0,
34,KMC Bandara (SL),2016-2016,1,1,1,2,2*,-,4,50.0,0,0,0,0,0,
35,Bashir Shah (DEN),2019-2019,4,2,2,2,1*,-,2,100.0,0,0,0,0,0,
36,A Bhattarai (NEPAL),2014-2014,1,1,0,2,2,2.00,3,66.66,0,0,0,0,0,
37,JP Bray (IRE),2009-2009,2,2,0,2,2,1.00,17,11.76,0,0,1,0,0,
38,GB Brent (ZIM),2006-2007,3,1,0,2,2,2.00,5,40.0,0,0,0,0,0,
39,P Buccimazza (PORT),2019-2019,4,2,0,2,1,1.00,13,15.38,0,0,0,0,0,
40,A Carthew (Chile),2019-2019,4,1,1,2,2*,-,2,100.0,0,0,0,0,0,
41,S Chophel (BHU),2019-2019,1,1,1,2,2*,-,5,40.0,0,0,0,0,0,
42,H Dajc (Serb),2019-2019,2,2,1,2,2*,2.00,3,66.66,0,0,1,0,0,
43,Dawlat Ahmadzai (AFG),2010-2010,2,1,1,2,2*,-,3,66.66,0,0,0,0,0,
44,MVT Fernando (SL),2017-2017,1,1,0,2,2,2.00,2,100.0,0,0,0,0,0,
45,C Fry (LUX),2019-2019,3,1,0,2,2,2.00,6,33.33,0,0,0,0,0,
46,BD Glover (NL),2019-2019,19,4,3,2,1*,2.00,8,25.0,0,0,1,0,0,
47,Jandu Hamoud (KUW),2019-2019,6,1,0,2,2,2.00,4,50.0,0,0,0,0,0,
48,RJ Harris (AUS),2010-2010,3,1,1,2,2*,-,1,200.0,0,0,0,0,0,
49,BW Hilfenhaus (AUS),2007-2012,7,3,1,2,2,1.00,10,20.0,0,0,1,0,0,
0,A Husain (Arg),2019-2019,5,1,1,2,2*,-,1,200.0,0,0,0,0,0,
1,Ilyas Ahmed (KUW),2019-2019,6,3,2,2,1*,2.00,3,66.66,0,0,0,0,0,
2,AJ Ireland (ZIM),2006-2006,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,
3,S Kansoy (TKY),2019-2019,4,4,0,2,2,0.50,7,28.57,0,0,3,0,0,
4,A Khan (ENG),2009-2009,1,1,0,2,2,2.00,4,50.0,0,0,0,0,0,
5,RJ Kirtley (ENG),2007-2007,1,1,1,2,2*,-,4,50.0,0,0,0,0,0,
6,I Lisboa (Chile),2019-2019,1,1,0,2,2,2.00,3,66.66,0,0,0,0,0,
7,J Long (PHI),2019-2019,2,1,1,2,2*,-,6,33.33,0,0,0,0,0,
8,T Lungameni (NAM),2019-2019,6,1,1,2,2*,-,2,100.0,0,0,0,0,0,
9,MJ Mason (NZ),2006-2008,3,1,0,2,2,2.00,2,100.0,0,0,0,0,0,
10,Muslim Yar (GER),2019-2019,7,1,0,2,2,2.00,6,33.33,0,0,0,0,0,
11,S Nadigotla (ROM),2019-2019,2,1,0,2,2,2.00,6,33.33,0,0,0,0,0,
12,Najeeb Amar (HKG),2014-2014,1,1,0,2,2,2.00,9,22.22,0,0,0,0,0,
13,W Nalisa (VAN),2019-2019,9,3,2,2,1*,2.00,4,50.0,0,0,1,0,0,
14,Nazwan Ismail (Mald),2019-2019,3,1,1,2,2*,-,2,100.0,0,0,0,0,0,
15,A Ndlovu (ZIM),2019-2019,3,1,0,2,2,2.00,4,50.0,0,0,0,0,0,
16,K Nima (BHU),2019-2019,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,
17,Noman Kamawi (Belg),2019-2019,1,1,0,2,2,2.00,7,28.57,0,0,0,0,0,
18,L Nou (PNG),2015-2015,3,1,1,2,2*,-,3,66.66,0,0,0,0,0,
19,S Saeed (Mald),2019-2019,5,1,0,2,2,2.00,4,50.0,0,0,0,0,0,
20,Saqlain Ali (Belg),2019-2019,2,1,0,2,2,2.00,6,33.33,0,0,0,0,0,
21,Shoaib Gazi Hossain (Chile),2019-2019,4,1,0,2,2,2.00,5,40.0,0,0,0,0,0,
22,Suhrid Roy (MALTA),2019-2019,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,
23,A Tripathi (Mex),2019-2019,3,2,2,2,1*,-,4,50.0,0,0,0,0,0,
24,LL Tsotsobe (SA),2009-2014,23,3,2,2,1*,2.00,10,20.0,0,0,0,0,0,
25,Usman Shinwari (PAK),2013-2019,16,3,3,2,2*,-,3,66.66,0,0,0,0,0,
26,S Vijayakumar (SGP),2019-2019,9,2,0,2,1,1.00,5,40.0,0,0,0,0,0,
27,R Vinay Kumar (INDIA),2010-2013,9,1,1,2,2*,-,4,50.0,0,0,0,0,0,
28,Waqar Khan (Peru),2019-2019,4,2,1,2,2*,2.00,3,66.66,0,0,1,0,0,
29,Waqas Raja (Fin),2019-2019,1,1,1,2,2*,-,2,100.0,0,0,0,0,0,
30,UWMBCA Welegedara (SL),2010-2010,2,1,1,2,2*,-,3,66.66,0,0,0,0,0,
31,BTJ Wheal (SCOT),2016-2017,5,2,2,2,2*,-,2,100.0,0,0,0,0,0,
32,UT Yadav (INDIA),2012-2019,7,1,0,2,2,2.00,4,50.0,0,0,0,0,0,
33,Zaheer Maqsood (UAE),2015-2016,3,1,0,2,2,2.00,5,40.0,0,0,0,0,0,
34,Z Abbasi (Botsw),2019-2019,1,1,0,1,1,1.00,5,20.0,0,0,0,0,0,
35,KK Ahmed (INDIA),2018-2019,14,1,1,1,1*,-,1,100.0,0,0,0,0,0,
36,J Allen (),2019-2019,2,2,1,1,1*,1.00,4,25.0,0,0,1,0,0,
37,HS Alta (TKY),2019-2019,4,4,1,1,1*,0.33,10,10.0,0,0,3,0,0,
38,JM Anderson (ENG),2007-2009,19,4,3,1,1*,1.00,2,50.0,0,0,1,0,0,
39,B Angeltti (Arg),2019-2019,3,1,0,1,1,1.00,4,25.0,0,0,0,0,0,
40,V Ateak (Ghana),2019-2019,4,1,1,1,1*,-,2,50.0,0,0,0,0,0,
41,Awais Malik (QAT),2019-2019,11,4,0,1,1,0.25,4,25.0,0,0,3,0,0,
42,Babar Ali (BAH),2019-2019,3,1,1,1,1*,-,1,100.0,0,0,0,0,0,
43,DE Bernard (WI),2009-2009,1,1,1,1,1*,-,1,100.0,0,0,0,0,0,
44,S Bhari (NEPAL),2019-2019,6,3,2,1,1*,1.00,5,20.0,0,0,1,0,0,
45,DE Bollinger (AUS),2011-2014,9,2,2,1,1*,-,1,100.0,0,0,0,0,0,
46,DR Brown (SCOT),2007-2007,2,1,0,1,1,1.00,5,20.0,0,0,0,0,0,
47,N Buckle (GUE),2019-2019,3,1,1,1,1*,-,1,100.0,0,0,0,0,0,
48,DL Chahar (INDIA),2018-2019,10,2,2,1,1*,-,1,100.0,0,0,0,0,0,
49,R Dhawan (INDIA),2016-2016,1,1,1,1,1*,-,2,50.0,0,0,0,0,0,
0,Dhiman Ghosh (BDESH),2008-2008,1,1,0,1,1,1.00,2,50.0,0,0,0,0,0,
1,HH Dippenaar (SA),2006-2006,1,1,0,1,1,1.00,5,20.0,0,0,0,0,0,
2,B Dugic (Serb),2019-2019,2,1,0,1,1,1.00,4,25.0,0,0,0,0,0,
3,GDR Eranga (CAN),2019-2019,9,1,0,1,1,1.00,1,100.0,0,0,0,0,0,
4,AC Evans (SCOT),2015-2019,27,6,1,1,1*,0.20,10,10.0,0,0,5,0,0,
5,LH Ferguson (NZ),2017-2019,8,1,0,1,1,1.00,3,33.33,0,0,0,0,0,
6,P Florin (ROM),2019-2019,4,2,1,1,1*,1.00,1,100.0,0,0,1,0,0,
7,MD Garratt (GIBR),2019-2019,4,2,1,1,1,1.00,5,20.0,0,0,0,0,0,
8,A Gavde (Caym),2019-2019,1,1,0,1,1,1.00,6,16.66,0,0,0,0,0,
9,O Goker (TKY),2019-2019,1,1,1,1,1*,-,1,100.0,0,0,0,0,0,
10,Hashmatullah Shahidi (AFG),2013-2013,1,1,1,1,1*,-,1,100.0,0,0,0,0,0,
11,GM Hyde (Blz),2019-2019,3,1,0,1,1,1.00,6,16.66,0,0,0,0,0,
12,JS Jesani (KENYA),2007-2007,1,1,0,1,1,1.00,5,20.0,0,0,0,0,0,
13,MBS Jonkman (NL),2010-2010,3,1,0,1,1,1.00,8,12.5,0,0,0,0,0,
14,B Khumalo (Botsw),2019-2019,3,1,0,1,1,1.00,3,33.33,0,0,0,0,0,
15,GE Kidd (IRE),2010-2010,1,1,1,1,1*,-,1,100.0,0,0,0,0,0,
16,VJ Kingma (NL),2016-2019,4,2,1,1,1,1.00,5,20.0,0,0,0,0,0,
17,DS Kulkarni (INDIA),2016-2016,2,1,1,1,1*,-,1,100.0,0,0,0,0,0,
18,A Lagos (),2019-2019,1,1,1,1,1*,-,4,25.0,0,0,0,0,0,
19,J Lewis (ENG),2005-2007,2,2,1,1,1,1.00,4,25.0,0,0,0,0,0,
20,J Louw (SA),2008-2009,2,1,1,1,1*,-,1,100.0,0,0,0,0,0,
21,R Mahajan (PHI),2019-2019,3,1,1,1,1*,-,1,100.0,0,0,0,0,0,
22,SI Mahmood (ENG),2006-2009,4,2,2,1,1*,-,2,50.0,0,0,0,0,0,
23,RD McCann (IRE),2012-2012,3,1,0,1,1,1.00,2,50.0,0,0,0,0,0,
24,MR Montfort (CAN),2019-2019,1,1,1,1,1*,-,1,100.0,0,0,0,0,0,
25,Muhammed Shanil (UAE),2016-2016,1,1,1,1,1*,-,3,33.33,0,0,0,0,0,
26,M Muralitharan (SL),2006-2010,12,2,0,1,1,0.50,5,20.0,0,0,1,0,0,
27,B Muzarabani (ZIM),2018-2018,6,3,2,1,1*,1.00,5,20.0,0,0,1,0,0,
28,M Nasim Baras (AFG),2015-2015,3,1,0,1,1,1.00,2,50.0,0,0,0,0,0,
29,A Nathwani (Aut),2019-2019,5,1,1,1,1*,-,1,100.0,0,0,0,0,0,
30,R Neale (LUX),2019-2019,3,2,0,1,1,0.50,6,16.66,0,0,1,0,0,
31,ML Nkala (ZIM),2006-2006,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,
32,MS Panesar (ENG),2007-2007,1,1,0,1,1,1.00,2,50.0,0,0,0,0,0,
33,SD Parry (ENG),2014-2015,5,1,0,1,1,1.00,1,100.0,0,0,0,0,0,
34,MDK Perera (SL),2011-2011,3,2,0,1,1,0.50,6,16.66,0,0,1,0,0,
35,DBL Powell (WI),2007-2007,5,1,1,1,1*,-,1,100.0,0,0,0,0,0,
36,EC Rainsford (ZIM),2010-2010,2,1,1,1,1*,-,2,50.0,0,0,0,0,0,
37,KB Ratilal (PNM),2019-2019,3,1,1,1,1*,-,2,50.0,0,0,0,0,0,
38,EB Ringera (KENYA),2019-2019,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,
39,WJR Robertson (JER),2019-2019,6,2,2,1,1*,-,2,50.0,0,0,0,0,0,
40,BA Sambo (Moz),2019-2019,2,1,1,1,1*,-,1,100.0,0,0,0,0,0,
41,O Sam Arthur (CRC),2019-2019,3,2,1,1,1,1.00,1,100.0,0,0,0,0,0,
42,Sandeep Sharma (INDIA),2015-2015,2,1,1,1,1*,-,1,100.0,0,0,0,0,0,
43,M Sarenac (Serb),2019-2019,2,1,0,1,1,1.00,2,50.0,0,0,0,0,0,
44,Sayed Shirzad (AFG),2015-2019,4,1,0,1,1,1.00,2,50.0,0,0,0,0,0,
45,ZK Shem (VAN),2019-2019,5,2,2,1,1*,-,4,25.0,0,0,0,0,0,
46,PM Siddle (AUS),2009-2010,2,1,1,1,1*,-,1,100.0,0,0,0,0,0,
47,KM Silva (),2019-2019,3,2,0,1,1,0.50,6,16.66,0,0,1,0,0,
48,Sohail Khan (PAK),2008-2017,5,1,1,1,1*,-,1,100.0,0,0,0,0,0,
49,Sohrawordi Shuvo (BDESH),2010-2010,1,1,1,1,1*,-,3,33.33,0,0,0,0,0,
0,AL Stephen (VAN),2019-2019,2,1,0,1,1,1.00,2,50.00,0,0,0,0,0,
1,EP Thompson (NZ),2008-2008,1,1,1,1,1*,-,1,100.00,0,0,0,0,0,
2,RJW Topley (ENG),2015-2016,6,1,1,1,1*,-,2,50.00,0,0,0,0,0,
3,TE Tucker (BMUDA),2008-2008,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0,
4,T Turan (TKY),2019-2019,4,4,0,1,1,0.25,17,5.88,0,0,3,0,0,
5,R van der Merwe (Arg),2019-2019,5,2,2,1,1*,-,1,100.00,0,0,0,0,0,
6,I Wardlaw (SCOT),2013-2013,4,1,0,1,1,1.00,3,33.33,0,0,0,0,0,
7,Wasim Ali (OMAN),2019-2019,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0,
8,G Wijekoon (SL),2007-2007,3,2,1,1,1*,1.00,5,20.00,0,0,1,0,0,
9,JD Wildermuth (AUS),2018-2018,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,
10,Yamin Ahmadzai (AFG),2015-2015,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,
11,Zaki Ul Hassan (Belg),2019-2019,3,1,0,1,1,1.00,2,50.00,0,0,0,0,0,
12,Zeeshan Abbas (BAH),2019-2019,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0,
13,Abdul Shakoor (ROM),2019-2019,2,1,0,0,0,0.00,3,0.00,0,0,1,0,0,
14,AS Abioye (NGA),2019-2019,5,1,1,0,0*,-,0,-,0,0,0,0,0,
15,Aizaz Cheema (PAK),2011-2012,5,1,1,0,0*,-,3,0.00,0,0,0,0,0,
16,C Akyuz (TKY),2019-2019,2,2,0,0,0,0.00,3,0.00,0,0,2,0,0,
17,Ali Naqi (PORT),2019-2019,4,1,1,0,0*,-,0,-,0,0,0,0,0,
18,MA Aponso (SL),2018-2018,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
19,S Arachchige (ITA),2019-2019,4,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
20,Ashiqullah Said (Belg),2019-2019,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
21,SK Atai (PNG),2019-2019,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
22,MS Aulakh (CAN),2012-2013,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
23,CT Bancroft (AUS),2016-2016,1,1,1,0,0*,-,0,-,0,0,0,0,0,
24,M Bhanuka (SL),2019-2019,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
25,IDR Bradshaw (WI),2006-2006,1,1,1,0,0*,-,0,-,0,0,0,0,0,
26,DR Briggs (ENG),2012-2014,7,1,1,0,0*,-,0,-,0,0,0,0,0,
27,AF Buurman (NL),2010-2010,4,2,0,0,0,0.00,4,0.00,0,0,2,0,0,
28,PP Chawla (INDIA),2010-2012,7,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
29,DO Christian (WI),2011-2011,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
30,I Civric (Serb),2019-2019,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
31,S Dalton (CZK-R),2019-2019,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
32,N Dipakkumar Patel (PNM),2019-2019,3,1,0,0,0,0.00,0,-,0,0,1,0,0,
33,JN Dorji (BHU),2019-2019,1,1,0,0,0,0.00,0,-,0,0,1,0,0,
34,Ehsan Nawaz (HKG),2014-2017,5,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
35,M Faheem (THAI),2019-2019,4,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
36,Fakhrul Mohon (PORT),2019-2019,4,1,0,0,0,0.00,0,-,0,0,1,0,0,
37,Fiaz Ahmad (KUW),2019-2019,3,1,1,0,0*,-,0,-,0,0,0,0,0,
38,GC Galanis (),2019-2019,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
39,Gershon Yusuf (NGA),2019-2019,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
40,L Gharasim (ROM),2019-2019,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
41,M Goonetilleke (MALTA),2019-2019,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
42,SM Harwood (AUS),2007-2009,3,1,1,0,0*,-,0,-,0,0,0,0,0,
43,T Henderson (SA),2006-2006,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
44,KC Hodsoll (BMUDA),2008-2008,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
45,Imran Khan (1) (PAK),2015-2015,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
46,P Kerai (KENYA),2019-2019,6,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
47,S Keshvani (CAN),2010-2010,2,1,1,0,0*,-,1,0.00,0,0,0,0,0,
48,RN Lewis (WI),2008-2008,1,1,0,0,0,0.00,4,0.00,0,0,1,0,0,
49,CA Liyanage (Mald),2019-2019,2,2,1,0,0*,0.00,1,0.00,0,0,1,0,0,
0,K Loday (BHU),2019-2019,1,1,1,0,0*,-,1,0.00,0,0,0,0,0,
1,AJ McKay (NZ),2010-2010,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
2,GI Maiden (SCOT),2008-2008,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
3,OM Marshall (Peru),2019-2019,3,1,0,0,0,0.00,3,0.00,0,0,1,0,0,
4,M Meade (Chile),2019-2019,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
5,A Mehmood (HKG),2016-2016,2,1,1,0,0*,-,1,0.00,0,0,0,0,0,
6,Michael Nazir (MALTA),2019-2019,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
7,TS Mills (ENG/ICC),2016-2018,5,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
8,A Mishra (INDIA),2010-2017,10,1,0,0,0,0.00,0,-,0,0,1,0,0,
9,Mohameed Taiwo (NGA),2019-2019,2,1,1,0,0*,-,0,-,0,0,0,0,0,
10,Mohammad Kashif (NL),2010-2010,3,1,1,0,0*,-,0,-,0,0,0,0,0,
11,Mohammad Qazi (CAN),2008-2008,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
12,Mohammed Nadeem (QAT),2019-2019,15,2,2,0,0*,-,1,0.00,0,0,0,0,0,
13,HJC Mol (NL),2008-2008,4,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
14,JK Mukhiya (NEPAL),2014-2015,4,1,1,0,0*,-,0,-,0,0,0,0,0,
15,Musa Shaheen (DEN),2019-2019,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0,
16,T Muzarabani (ZIM),2015-2016,9,1,1,0,0*,-,2,0.00,0,0,0,0,0,
17,Naveed Ahmed (CZK-R),2019-2019,7,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
18,Nawaf Ahmed (KUW),2019-2019,1,1,1,0,0*,-,0,-,0,0,0,0,0,
19,A Nel (SA),2005-2007,2,1,1,0,0*,-,2,0.00,0,0,0,0,0,
20,AA Noffke (AUS),2007-2008,2,1,0,0,0,0.00,0,-,0,0,1,0,0,
21,Noor Momand (Belg),2019-2019,2,1,1,0,0*,-,0,-,0,0,0,0,0,
22,L Nussbaumer (GUE),2019-2019,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
23,A Orfila (GIBR),2019-2019,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
24,MM Patel (INDIA),2011-2011,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
25,PDRL Perera (SL),2006-2006,2,2,2,0,0*,-,0,-,0,0,0,0,0,
26,T Phaswana (Botsw),2019-2019,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0,
27,Rahman Ademi (Serb),2019-2019,2,1,1,0,0*,-,4,0.00,0,0,0,0,0,
28,DM Richards (WI),2009-2009,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
29,R Rivas (Chile),2019-2019,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
30,Rumman Raees (PAK),2016-2018,8,1,1,0,0*,-,0,-,0,0,0,0,0,
31,NA Saini (INDIA),2019-2019,5,1,1,0,0*,-,1,0.00,0,0,0,0,0,
32,Sajid Liaqat (GER),2019-2019,2,1,1,0,0*,-,0,-,0,0,0,0,0,
33,K Santokie (WI),2011-2014,12,1,1,0,0*,-,0,-,0,0,0,0,0,
34,I Sawmy (DEN),2019-2019,2,2,1,0,0*,0.00,2,0.00,0,0,1,0,0,
35,Shaheen Shah Afridi (PAK),2018-2019,10,1,1,0,0*,-,2,0.00,0,0,0,0,0,
36,A Shahzad (ENG),2010-2011,3,1,1,0,0*,-,3,0.00,0,0,0,0,0,
37,Shakeel Ansar (PAK),2012-2012,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
38,T Shamsi (SA),2017-2019,16,3,2,0,0*,0.00,5,0.00,0,0,1,0,0,
39,B Shikongo (NAM),2019-2019,11,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
40,BA Simango (Moz),2019-2019,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
41,M Simmons (BMUDA),2019-2019,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
42,M Simpson-Parker (Aut),2019-2019,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
43,MS Sinclair (NZ),2005-2007,2,2,0,0,0,0.00,5,0.00,0,0,2,0,0,
44,S Singh (PORT),2019-2019,1,1,0,0,0,0.00,9,0.00,0,0,1,0,0,
45,L Sipamla (SA),2019-2019,5,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
46,S Soosiyakumar (),2019-2019,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
47,ES Soto (CRC),2019-2019,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
48,L Sreekumar (UAE),2017-2017,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
49,H Ssenyondo (UGA),2019-2019,4,1,1,0,0*,-,0,-,0,0,0,0,0,
0,Taijul Islam (BDESH),2019-2019,2,1,1,0,0*,-,1,0.00,0,0,0,0,0,
1,Ziaur Rehman (Fin),2019-2019,1,1,0,0,0,0.00,4,0.00,0,0,1,0,0,
2,M Zondeki (SA),2006-2006,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
3,Zulqarnain Haider (ESP),2019-2019,5,1,0,0,0,0.00,0,-,0,0,1,0,0,
4,YA Abdulla (SA),2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,-,
5,Abdur Rauf (PAK),2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,
6,RA Abolarin (NGA),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,
7,F Achelam (UGA),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,
8,GW Aldridge (NZ),2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,
9,TR Ambrose (ENG),2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,
10,A Anemogiannis (),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,
11,S Aravind (INDIA),2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,
12,JC Archer (ENG),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,
13,Arsalan Qadir (CAN),2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,
14,Asad Ali (PAK),2013-2013,2,-,-,-,-,-,-,-,-,-,-,-,-,
15,Atif Ali Khan (UAE),2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,
16,P Awana (INDIA),2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-,
17,LS Baker (WI),2008-2009,3,-,-,-,-,-,-,-,-,-,-,-,-,
18,L Balaji (INDIA),2012-2012,5,-,-,-,-,-,-,-,-,-,-,-,-,
19,JT Ball (ENG),2018-2018,2,-,-,-,-,-,-,-,-,-,-,-,-,
20,S Bantzas (),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,
21,TC Bastiampillai (CAN),2010-2010,2,-,-,-,-,-,-,-,-,-,-,-,-,
22,MD Bates (NZ),2012-2012,3,-,-,-,-,-,-,-,-,-,-,-,-,
23,D Bau (PNG),2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-,
24,JP Behrendorff (AUS),2017-2019,7,-,-,-,-,-,-,-,-,-,-,-,-,
25,CC Blake (VAN),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-,
26,N Boje (SA),2005-2005,1,-,-,-,-,-,-,-,-,-,-,-,-,
27,SM Boland (AUS),2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,-,
28,CG Burnett (SCOT),2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,
29,DK Butler (WI),2006-2006,1,-,-,-,-,-,-,-,-,-,-,-,-,
30,RD Chahar (INDIA),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,
31,N Chejay (BHU),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,
32,C Chete (MWI),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,
33,SR Clark (AUS),2006-2007,9,-,-,-,-,-,-,-,-,-,-,-,-,
34,MS Crane (ENG),2017-2017,2,-,-,-,-,-,-,-,-,-,-,-,-,
35,D Daesrath (CAN),2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,
36,M de Lange (SA),2012-2015,6,-,-,-,-,-,-,-,-,-,-,-,-,
37,SI de Saram (SL),2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-,
38,BJ Diamanti (NZ),2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-,
39,V Dikov (),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-,
40,K Dorji (BHU),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,
41,PS Eaglestone (IRE),2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,
42,BT Foakes (ENG),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,
43,BC Fortuin (SA),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,
44,O Fournier (CRC),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,
45,R Frylinck (SA),2017-2018,3,-,-,-,-,-,-,-,-,-,-,-,-,
46,ST Gabriel (WI),2013-2013,2,-,-,-,-,-,-,-,-,-,-,-,-,
47,Garret Banner (Blz),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,
48,B Geeves (AUS),2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-,
49,S Goud (CZK-R),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,
0,D Gough (ENG),2005-2006,2,-,-,-,-,-,-,-,-,-,-,-,-,
1,HF Gurney (ENG),2014-2014,2,-,-,-,-,-,-,-,-,-,-,-,-,
2,Hamza Tahir (SCOT),2018-2019,11,-,-,-,-,-,-,-,-,-,-,-,-,
3,SJ Harmison (ENG),2005-2006,2,-,-,-,-,-,-,-,-,-,-,-,-,
4,RJ Hatchman (GIBR),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,
5,JR Hazlewood (AUS),2013-2016,7,-,-,-,-,-,-,-,-,-,-,-,-,
6,J Hurley (Arg),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-,
7,Ibrahim Khan (Saudi),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,
8,Iftikhar Anjum (PAK),2007-2009,2,-,-,-,-,-,-,-,-,-,-,-,-,
